Time (min), Depth (m)
206.48259303721488, -1694.017094017094
571.4285714285716, -2047.0085470085469
965.1860744297715, -2409.4017094017095
1330.1320528211277, -2500
4158.463385354141, -2508.5470085470088
4725.090036014405, -2615.3846153846152
5733.493397358942, -2733.333333333334
6746.698679471789, -2747.863247863248
7697.478991596638, -2935.897435897436
