Radius (cm),Volume fraction (-)
0.0533783783783784,0.01875
0.107882882882883,0.00625
0.170495495495496,0.02
0.229504504504505,0.0425
0.26509009009009,0.1125
0.295720720720721,0.1
0.338963963963964,0.1
0.379504504504505,0.1
