Diameter (m), Step 1 (np/s), Step 2 (np/s), Step 3 (np/s), Step 4 (np/s), Step 5 (np/s), Step 6 (np/s)
1.067567567567567982e-03,2.373233761032733310e+04,1.462062198020353208e+04,2.665574997536640694e+03,9.035895117053435115e+02,8.231284282960506289e+02,9.790278222756553532e+02
2.157657657657659992e-03,9.582035178330024792e+02,5.903140113867742684e+02,1.076237571547035259e+02,3.648282200470192294e+01,3.323417054704319185e+01,3.952867681069439953e+01
3.409909909909920010e-03,7.768311662173973673e+02,4.785771637920234411e+02,8.725232920482474697e+01,2.957721677844397590e+01,2.694348223925737429e+01,3.204654077593775696e+01
4.590090090090100106e-03,6.767849022425579051e+02,4.169423332866938949e+02,7.601530636168794786e+01,2.576803639776245092e+01,2.347349435291171105e+01,2.791934194898868071e+01
5.301801801801799517e-03,1.162538696341999639e+03,7.161974136580033701e+02,1.305743299930804255e+02,4.426271824605756677e+01,4.032129770212431197e+01,4.795809611673517736e+01
5.914414414414419230e-03,7.443721320700136630e+02,4.585803444350923996e+02,8.360658678837593527e+01,2.834136537192688365e+01,2.581767852786413897e+01,3.070751138758726029e+01
6.779279279279280292e-03,4.942819872186487373e+02,3.045089870794223543e+02,5.551689549070858476e+01,1.881938588642407950e+01,1.714359377296601750e+01,2.039056689157231617e+01
7.590090090090100168e-03,3.521961208153222174e+02,2.169751008048252459e+02,3.955805741892815774e+01,1.340958173010095500e+01,1.221551134737475230e+01,1.452911242193485286e+01
