Diameter (m), Step 1, Step 2, Step 3, Step 4, Step 5, Step 6
4.612735800000000133e-04,3.734852642081880476e+05,2.300905605180727434e+05,4.194921707958884508e+04,1.422014860298302665e+04,1.295390043607173902e+04,1.540735139005747442e+04
1.379545919999999827e-03,4.653926017846087234e+03,2.867112972518642437e+03,5.227208982631983645e+02,1.771944596030183163e+02,1.614159916050052175e+02,1.919879587546884920e+02
2.959057500000000351e-03,1.509098973319854167e+03,9.297004779681504942e+02,1.694993792073453278e+02,5.745771979173839128e+01,5.234133638447012515e+01,6.225471361931236913e+01
4.817286100000000085e-03,7.432408157999217337e+02,4.578833820120619862e+02,8.347951930714511093e+01,2.829829142224432204e+01,2.577844014357192393e+01,3.066084130719318779e+01
6.129755300000000288e-03,9.549289288375541673e+02,5.882966573178622411e+02,1.072559609983873514e+02,3.635814468382370990e+01,3.312059525002035798e+01,3.939359050837976639e+01
7.296316900000000480e-03,5.033115260024419513e+02,3.100717544469309814e+02,5.653107762550565951e+01,1.916317825422781951e+01,1.745677278589677783e+01,2.076306157948724618e+01
8.401928520000000872e-03,3.296180561368929602e+02,2.030655840042445277e+02,3.702212835505891064e+01,1.254994022436256529e+01,1.143241752838934921e+01,1.359770170899679798e+01
9.412577420000000153e-03,2.344348957247173075e+02,1.444267330778229166e+02,2.633132086920858228e+01,8.925918568696303623e+00,8.131100712626912141e+00,9.671120021776253850e+00
